XNAME,FULLNAME,COND,FIRST,LAST,G,S,H,A,B,C,D,E,F,Table2_NAME,Table2_FORMULA,Table2_Mineral_Name,molar_volume(cm^3/mol),molar_volume(J/bar),Table2_Quelle,Table2_Bemerkungen
SiNi2O4,[],(C),298.15,1818,-1322125.543,110.0272292,-1404856.729,163.137,0.01974376,-2430322,0,8.82613E-06,0,SiNi2O4, SiNi2O4,Liebenbergit,42.52384144,4.252384144,Webmineral,
SiNi,[],(C),298.15,1265,-96308.56515,44.48637626,-89556.70069,48.748682,0.006119729,-651712,0,0,0,SiNi, SiNi,,14.6316943,1.46316943,Materialsproject,
Si2Ce,[],(C),298.15,1893,-200342.7264,100.8173177,-188232.9079,72.098188,0.011260636,-524548,0,2.29228E-06,0,,,,,,,
SiPb2O4,[],(C),298.15,1018,-1286247.407,186.5761562,-1362816.718,177.81933,0.0071111,-3317120,0,0,0,SiPb2O4, SiPb2O4,,71.40843738,7.140843738,Materialsproject,
SiClF,[],(G),298.15,6000,-391151.5257,275.0246376,-377826.8204,46.44522858,0.023983826,-412260,0,-1.81036E-05,4.74204E-09,,,,,,,
ALAMOSITE,SiPbO3,(C),298.15,1038,-1084586.418,109.605245,-1145427.828,159.20498,0.0405751,-5818552,0,0,0,ALAMOSITE, SiPbO3,PbSiO3,44.50261653,4.450261653,Webmineral,
SiClH,[],(G),298.15,6000,22982.14254,251.2219095,40946.07009,34.34963989,0.034554987,-175562,0,-2.00029E-05,4.26582E-09,,,,,,,
TRIDIMIT,SiO2,(C),298.15,1953,-856257.3507,43.51448986,-905198.6614,52.173,0.04094,-1754500,0,0,0,TRIDIMIT, SiO2,Tridymit,25.54458893,2.554458893,Webmineral,
SiCl4,[],(G),298.15,6000,-624545.3568,331.328521,-662201.1505,96.37863159,0.024712314,-1049376,0,-1.90888E-05,5.08194E-09,,,,,,,
CRISTOBALITE,SiO2,(C),298.15,1996,-859058.583,43.40448914,-907998.6698,-5627.717,30.901,73628000,0,-0.06238107,4.43907E-05,CRISTOBALITE, SiO2,Cristobalit,25.73712407,2.573712407,Webmineral,
SiCl,[],(G),298.15,6000,112411.5407,237.7289032,142365.387,36.08028412,0.003205606,-96002,0,-2.15001E-06,5.84638E-10,,,,,,,
QUARTZ,SiO2,(C),298.15,1696,-861509.8385,40.29764059,-910977.0059,-122.698,0.592567,2975500,0,-0.000367971,-5.58489E-07,QUARTZ, SiO2,Quarz ,22.68339686,2.268339686,Webmineral,
SiCl2,[],(G),298.15,6000,-174778.8311,281.5024186,-163067.7593,54.3813324,0.008135324,-446662,0,-6.32263E-06,1.69046E-09,,,,,,,
SiZn2O4,[],(C),298.15,1785,-1557672.4,131.3584555,-1639314.346,144.85729,0.03693589,-3028492,0,0,0,SiZn2O4, SiZn2O4,Willemit,52.40343101,5.240343101,Webmineral,
SiCl3,[],(G),298.15,6000,-386587.4256,316.5263697,-396270.3286,75.61459351,0.015959488,-783658,0,-1.23627E-05,3.29768E-09,,,,,,,
SiZrO4,[],(C),298.15,2500,-1942394.139,84.08814918,-2030718.064,118.600599,0.04789535,-2976204,0,-1.67236E-05,0,SiZrO4, SiZrO4,Zirkon,39.25833561,3.925833561,Webmineral,
SiCo2O4,[],(L),298.15,3000,-1306609.31,86.20407333,-1401451.476,242.614,0,0,0,0,0,,,,,,,
