group,abbreviation,symbol,formula,H,H_error,S,V,Cp
pyroxenes,hed,hedenbergite,CaFeSi2O6,-2841.92,0.94,175,6.795,175.374307051857
pyroxenes,jd,jadeite,NaAlSi2O6,-3025.26,1.67,133.5,6.04,164.254104913806
pyroxenes,kos,kosmochlor,NaCrSi2O6,-2746.8,2.46,149.65,6.309,177.283974916458
pyroxenes,mgts,Mg-tschermaks,MgAl2SiO6,-3196.61,0.73,131,6.05,160.274889058153
pyroxenes,pren,protoenstatite,Mg2Si2O6,-3084.57,0.67,137,6.476,164.120696215512
pyroxenes,pswo,pseudowollastonite,CaSiO3,-1627.94,0.47,87.8,4.008,84.6378533019463
pyroxenes,pxmn,pyroxmangite,MnSiO3,-1323.14,0.73,99.3,3.472,86.6301630003465
pyroxenes,rhod,rhodonite,MnSiO3,-1322.35,0.73,100.5,3.494,86.6301630003465
Amphibole,wal,walstromite,CaSiO3,-1625.88,0.48,83.5,3.763,86.1378533019464
Amphibole,wo,wollastonite,CaSiO3,-1633.75,0.47,82.5,3.993,86.1378533019464
Amphibole,anth,anthophyllite,Mg7Si8O22(OH)2,-12066.85,2.48,537,26.54,650.277538187384
Amphibole,fanth,Fe-anthophyllite,Fe7Si8O22(OH)2,-9624.53,8.8,725,27.87,692.74731902452
Amphibole,cumm,cummingtonite,Mg7Si8O22(OH)2,-12064.71,2.48,538,26.33,650.277538187384
Amphibole,fact,ferroactinolite,Ca2Fe5Si8O22(OH)2,-10503.82,2.88,710,28.42,685.757184274026
Amphibole,fgl,ferroglaucophane,Na2Fe3Al2Si8O22(OH)2,-10880.25,5.15,624,26.59,663.162374018633
Amphibole,gl,glaucophane,Na2Mg3Al2Si8O22(OH)2,-11960.24,3.55,530,25.98,644.876551513577
Amphibole,grun,grunerite,Fe7Si8O22(OH)2,-9607.15,3.02,735,27.84,692.74731902452
Amphibole,parg,pargasite,NaCa2Mg4Al3Si6O22(OH)2,-12664.49,2.27,635,27.19,680.897572533743
Amphibole,rieb,riebeckite,Na2Fe5Si8O22(OH)2,-10024.77,5.3,695,27.49,684.133095051815
Amphibole,tr,tremolite,Ca2Mg5Si8O22,-12304.56,2.17,553,27.27,655.408434512696
Amphibole,ts,tschermakite,Ca2Mg3Al4Si6O22(OH)2,-12555.3,1.77,533,26.8,647.656859617547
Other chain silicates,,,,,,,,
other_chain_silicates,deer,deeriteFe,18Si12O40(OH)10,-18341.5,6.45,1650,55.74,1551.88315727645
other_chain_silicates,fcar,ferrocarpholite,FeAl2Si2O6(OH)4,-4411.57,1.01,251.1,10.695,286.311774227782
other_chain_silicates,fspr,Fe-sapphirine(221),Fe4Al8Si2O20,-4771.22,0.79,221.5,10.59,278.053054468588
other_chain_silicates,mcar,magnesiocarpholite,MgAl2Si2O6(OH)4,-9659.86,5.87,485,19.923,605.971178958656
other_chain_silicates,spr4,sapphirine(221),Mg4Al8Si2O20,-11022.4,3.1,425.5,19.9,557.88334945254
other_chain_silicates,spr5,sapphirine(351),Mg3Al10SiO20,-11135.69,3.83,419.5,19.75,551.347207129025
Mica,,,,,,,,
Mica,ann,annite,KFe3AlSi3O10(OH)2,-5144.23,3.19,418,15.432,373.103432152532
Mica,cel,celadonite,KMgAlSi4O10(OH)2,-5834.87,2.83,290,13.957,325.752351008414
Mica,east,eastonite,KMg2Al3Si2O10(OH)2,-5468.47,2.86,330,14.07,331.480770154434
Mica,fcel,ferroceladonite,KFeAlSi4O10(OH)2,-6330.48,3.04,318,14.738,350.955553271492
Mica,ma,margarite,CaAl4Si2O10(OH)2,-6242.11,1.4,265,12.964,323.213901575411
Mica,mnbi,Mn-biotite,KMn3AlSi3O10(OH)2,-5477.59,4.85,433,15.264,369.887705157936
Mica,mu,muscovite,KAl3Si3O10(OH)2,-5976.56,2.9,292,14.083,321.880961743513
Mica,naph,sodaphlogopite,NaMg3AlSi3O10(OH)2,-6171.92,1.99,318,14.45,355.110964033608
Mica,pa,paragonite,NaAl3Si3O10(OH)2,-5942.91,1.81,277,13.211,323.969587347917
Mica,phl,phlogopite,KMg3AlSi3O10(OH)2,-6214.95,2.9,326,14.964,354.817609647476
Chlorites,afchl,Al-freechlorite,Mg6Si4O10(OH)8,-8728.65,2.27,439,21.57,533.192515474992
Chlorites,ames,amesite(14A),Mg4Al4Si2O10(OH)8,-9039.8,1.96,413,20.71,526.074790410107
Chlorites,clin,clinochlore(ordered),Mg5Al2Si3O10(OH)8,-8909.23,1.55,437,21.14,529.930757249008
